test,protein_length,dna_length,no_genelm_time,no_genelm_high_conf,no_genelm_score,genelm_time,genelm_high_conf,genelm_score,time_diff,time_pct_diff,conf_reduction,score_improvement
1,69,366,0.14353656768798828,0,-0.0,189.99732971191406,0,-0.0,189.85379314422607,132268.58925379877,0,0.0
2,49,306,0.10140538215637207,0,-0.0,78.90805959701538,0,-0.0,78.80665421485901,77714.4689355199,0,0.0
3,66,357,0.16794538497924805,0,-0.0,271.1537070274353,0,-0.0,270.98576164245605,161353.50291164,0,0.0
4,66,357,0.18145751953125,0,-0.0,157.97577548027039,0,-0.0,157.79431796073914,86959.37118966533,0,0.0
5,60,339,0.1269981861114502,0,-0.0,107.9722900390625,0,-0.0,107.84529185295105,84918.76549977566,0,0.0
